id,shares
0,2011.10699234
1,3417.9945431
2,4747.86735754
3,2827.16531779
4,4130.78909384
5,2056.01886759
6,2097.42453539
7,3800.39866812
8,2624.31660746
9,1586.07266598
10,4369.72550333
11,7146.75011024
12,5679.22333471
13,2966.24667949
14,744.244243295
15,3513.72992182
16,3825.31798097
17,3486.60300572
18,3556.71787612
19,2363.47410427
20,2431.34221994
21,2640.23773661
22,2219.29842061
23,2954.00738935
24,1381.35172848
25,943.824344317
26,4605.6832035
27,5509.39433082
28,3904.97412454
29,5418.58066676
30,2324.34982902
31,1969.88415642
32,7152.06196475
33,1941.16589108
34,1404.450111
35,5266.07665604
36,1482.32879841
37,5782.6921158
38,7673.8562952
39,1966.94625422
40,2347.91051565
41,5193.07975777
42,4181.93987568
43,5707.26290852
44,9421.76506798
45,6480.36999719
46,4509.41334733
47,1544.37514535
48,1731.56425642
49,3922.22146949
50,1239.40998783
51,3889.95962811
52,2634.66478491
53,2083.2227585
54,2756.01384472
55,4827.87995618
56,2844.03439414
57,2705.92906106
58,731.315362142
59,2449.44559781
60,3018.03309813
61,2304.03477435
62,1616.55568587
63,4024.11400354
64,3959.97406371
65,5057.89489969
66,3579.80240963
67,4162.14793054
68,7241.13275412
69,5446.93164405
70,2716.36133385
71,2714.94088442
72,3538.82022783
73,7175.82532996
74,8069.60515728
75,4057.92600959
76,2840.36513889
77,4471.82178617
78,2180.07488867
79,3498.87221235
80,3162.57047281
81,6975.19982486
82,4206.69388837
83,2845.66717475
84,5064.24420186
85,4205.71909867
86,2564.90622716
87,2654.45265406
88,3823.80166718
89,2410.4738416
90,8378.07020498
91,5296.20621928
92,5070.44466522
93,1614.40676874
94,4623.01305015
95,1535.32179169
96,7983.13538985
97,3457.51233897
98,5758.74595089
99,1333.40322503
100,3201.05810342
101,4174.71031013
102,4254.61962235
103,2247.92405249
104,3868.55681936
105,2924.08500676
106,2065.93038096
107,4365.7490718
108,439.682129163
109,4486.92860362
110,2508.99166242
111,928.01727633
112,4843.70784162
113,2373.63574243
114,4772.13538087
115,2412.3375511
116,1125.59494275
117,2958.74794307
118,2873.84864786
119,4641.82187296
120,10339.1899032
121,498.542370877
122,5994.28368978
123,2331.17804944
124,6576.12640377
125,3666.1093352
126,4487.54032332
127,3744.22698857
128,4177.03413631
129,2710.4637264
130,4526.94069026
131,1288.65253195
132,2103.48576131
133,4755.47925598
134,2430.85058617
135,4336.65192655
136,4173.58331577
137,2838.52335678
138,634.990941061
139,4410.60821279
140,3756.44813381
141,2090.27064803
142,5468.4252825
143,3165.25605849
144,2822.29681867
145,1111.95011234
146,1759.69756483
147,2977.54369349
148,5097.39137111
149,3080.9871075
150,5365.79151667
151,6437.59964368
152,3014.89836695
153,1047.03605104
154,2463.79050125
155,1179.4521221
156,5366.36083642
157,3935.85306984
158,1769.84050065
159,3815.09511119
160,4780.36445827
161,3135.06041148
162,4467.06794062
163,3035.48994403
164,1060.6985934
165,2019.3372924
166,1414.57750744
167,5621.01460367
168,3638.20575048
169,2426.77067914
170,2631.64870449
171,1425.69457725
172,974.763250247
173,2630.06311586
174,2750.58049919
175,2002.73062937
176,3786.64291204
177,6974.97702543
178,1903.38788779
179,2887.35485952
180,6037.16851178
181,3526.31172733
182,3538.4359977
183,2243.81281377
184,2459.08486233
185,3416.90092973
186,3975.06623711
187,3484.11688892
188,4832.93596588
189,4735.05459971
190,2096.31852306
191,3066.45695142
192,5118.71541525
193,3799.76167252
194,4307.56645621
195,4356.62486667
196,3945.19572713
197,2425.54901013
198,1173.55604275
199,5644.33328246
200,1727.00741236
201,2607.88183873
202,2240.76731613
203,7881.73326567
204,3053.77408792
205,2172.72709593
206,2712.60818047
207,1370.70234487
208,2781.30603257
209,5380.70653174
210,2587.57479846
211,2209.8613345
212,4640.77905702
213,3287.71615692
214,4888.83596407
215,1815.18856191
216,4243.29064629
217,4065.11613116
218,2276.36594288
219,3069.60759267
220,3423.64773522
221,5310.06682682
222,3876.06242935
223,2094.29183974
224,2342.57347877
225,2398.04943684
226,1111.16698081
227,1953.94717707
228,3231.22963779
229,2274.76094196
230,10518.5417847
231,3225.48303838
232,3012.76217662
233,2178.60662771
234,2593.31168829
235,1526.38342063
236,3233.35916469
237,3294.20452359
238,2484.3721701
239,2399.16789438
240,1884.97787887
241,1576.59125739
242,1212.04155126
243,1912.3289718
244,2710.49265667
245,6891.94493766
246,11347.1980376
247,2106.21905195
248,6026.05232829
249,7109.06433007
250,4758.10125669
251,3095.00306493
252,7210.79410169
253,4712.67834531
254,1567.11637341
255,2048.19455575
256,1108.86339371
257,2923.77656165
258,4633.67473684
259,2919.11346592
260,3971.61366976
261,2666.17662593
262,1723.86461828
263,4601.84685592
264,3346.54149444
265,8505.82393444
266,3504.31220178
267,2920.25935476
268,5442.43724028
269,2315.1853919
270,2101.84031048
271,3600.28928659
272,2876.28878114
273,3698.11955936
274,3181.61306975
275,3039.46720445
276,3320.2098746
277,5054.49185486
278,919.202401462
279,2289.61726759
280,4425.1130143
281,3451.24689581
282,3760.29138327
283,1180.30114553
284,4077.61230548
285,5893.47613125
286,2439.52646343
287,5724.98897974
288,4716.92986797
289,3919.71018996
290,1870.7346444
291,3297.3537675
292,3153.92251641
293,3135.1605818
294,7061.68515061
295,8727.86303877
296,6266.12855966
297,2509.06278925
298,2113.75717437
299,3064.22520401
300,1562.68011549
301,5889.13098611
302,6843.63739568
303,3128.74440864
304,2412.76564989
305,2362.03159187
306,6427.99906471
307,4409.89602
308,4725.1823407
309,3804.15376488
310,2555.84903445
311,7055.81985128
312,2884.91125061
313,1475.30113988
314,7343.98218193
315,2462.98401562
316,4561.41426975
317,2247.17129634
318,3178.7674043
319,1735.46732743
320,10515.687895
321,4360.53768373
322,5089.2337426
323,2985.62148335
324,4883.99545929
325,5364.53763914
326,5279.61215587
327,2008.47904932
328,2918.03963531
329,4861.81931151
330,4658.73954664
331,1608.54837693
332,5425.2967574
333,1809.54256008
334,969.436174793
335,4304.21199979
336,2280.83989122
337,1891.71212775
338,2738.04355262
339,3506.33307587
340,5556.9649459
341,2078.82052705
342,2703.30740892
343,2712.95711198
344,2637.81497522
345,999.091781535
346,1424.52151362
347,5549.73081043
348,7430.13805841
349,2907.69581731
350,2737.25068594
351,4802.59062294
352,6465.82595857
353,1804.87117851
354,1407.72459968
355,4353.79974534
356,2133.78212125
357,5985.67598277
358,3159.73563778
